"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"137575","SN 2023ucy","19:01:41.990","+40:45:05.80","SN II","0.0152","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","None","ATLAS, GaiaAlerts, ZTF","ZTF23abhzxwm","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","HCT-2m - HFOSC, Other - Other","1","1","","17.9015","r-ZTF","2023-10-05 03:38:05.280","ZTF_CLU_PUBLIC","","","2023TNSTR2492....1D","2023TNSCR2716....1T, 2023TNSCR2745....1T","",""
"137574","SN 2023ucx","03:59:54.897","+32:36:41.14","SN II","0.017692","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS, ZTF","ZTF23abhruov","P48 - ZTF-Cam, PS2 - GPC2","Keck1 - LRIS","1","1","","19.682","r-ZTF","2023-09-30 10:11:03.840","ZTF_CLU_PUBLIC","","","2023TNSTR2492....1D","2024TNSCR3553....1D","",""
"137573","SN 2023ucw","05:57:07.245","-17:47:38.69","SN Ia","0.072","","","ATLAS, Fink","ATLAS, ZTF","Fink","ATLAS, Fink","ATLAS23tpy","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","ANU-2.3m - WiFeS","1","1","","19.016","orange-ATLAS","2023-10-05 07:32:43.296","ATLAS_Bot1","","","2023TNSTR2485....1T","2024TNSCR1420....1M","",""
"137539","SN 2023ubp","23:10:31.066","+02:57:15.36","SN Ibn","0.056","","","ATLAS, Fink, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","SCAT","ATLAS, Fink, Pan-STARRS","ATLAS23tox","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","18.056","cyan-ATLAS","2023-10-05 03:19:09.984","ATLAS_Bot1","","","2023TNSTR2485....1T","2023TNSCR2507....1H","",""
"137536","SN 2023ubm","00:37:27.859","-04:34:17.05","SN Ia","0.04","","","ATLAS, GOTO, Pan-STARRS","ATLAS, GOTO, Pan-STARRS","SCAT","ATLAS, GOTO, Pan-STARRS","ATLAS23tob","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, GOTO-N - GOTO-2, PS1 - GPC1","UH88 - SNIFS","1","1","","17.977","orange-ATLAS","2023-10-03 23:17:55.392","ATLAS_Bot1","","","2023TNSTR2476....1T","2023TNSCR2496....1T","",""
"137527","SN 2023ubd","17:23:48.628","-00:58:56.53","SN Ic","0.055","SDSS J172348.49-005851.5","","ALeRCE","ZTF","SCAT","ALeRCE","ZTF23abhvrhm","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.7824","r-ZTF","2023-10-04 03:27:17.997","ALeRCE","","","2023TNSTR2475....1M","2023TNSCR2617....1H","",""
"137524","SN 2023uba","17:40:21.670","+09:24:47.34","SN Ia","0.022","2MASX J17402216+0924463","","ALeRCE, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","SCAT","ALeRCE, ATLAS, Fink, GaiaAlerts","ZTF23abhvsbo","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","20.0502","r-ZTF","2023-10-04 03:25:16.000","ALeRCE","","","2023TNSTR2475....1M","2023TNSCR2508....1T","",""
"137522","SN 2023uay","20:53:03.603","+26:42:40.74","SN Ia","0.048","SDSS J205303.65+264238.5","","ALeRCE, ATLAS, Fink, GOTO","ZTF, ATLAS, GOTO","SCAT","ALeRCE, ATLAS, Fink, GOTO","ZTF23abhwhho","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.3531","g-ZTF","2023-10-04 04:56:37.000","ALeRCE","","","2023TNSTR2475....1M","2023TNSCR2496....1T","",""
"137518","SN 2023uau","01:09:37.531","+25:28:58.61","SN I","0.113","SDSS J010937.66+252858.1","","ALeRCE","ZTF","SCAT","ALeRCE","ZTF23abhxpga","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","20.1622","r-ZTF","2023-10-04 07:58:53.003","ALeRCE","","","2023TNSTR2475....1M","2023TNSCR2674....1T","",""
"137516","SN 2023uas","04:26:19.796","-11:59:20.11","SN II","0.032","Gaia DR2 3178642284305147392","","ALeRCE","ZTF","SCAT","ALeRCE","ZTF23abhyssf","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.4464","g-ZTF","2023-10-04 10:10:16.000","ALeRCE","","","2023TNSTR2475....1M","2023TNSCR2537....1T","",""
